vehicle_id,lane,frame,timestamp_seconds
3,1,14,0.47
4,1,40,1.33
71,1,51,1.7
2,2,55,1.83
51,3,56,1.87
5,1,62,2.07
85,1,64,2.13
94,3,83,2.77
14,1,100,3.33
18,2,131,4.37
152,2,148,4.93
50,1,149,4.97
195,1,196,6.53
145,1,217,7.23
148,1,248,8.27
271,1,255,8.5
158,1,273,9.1
122,2,280,9.33
322,2,283,9.43
204,1,286,9.53
325,1,288,9.6
326,1,293,9.77
155,2,332,11.07
239,1,335,11.17
246,1,338,11.27
372,1,339,11.3
229,1,362,12.07
418,2,362,12.07
435,1,377,12.57
225,2,383,12.77
301,1,410,13.67
480,1,425,14.17
308,2,435,14.5
353,1,459,15.3
474,1,534,17.8
607,1,540,18.0
550,1,595,19.83
535,1,598,19.93
604,1,642,21.4
613,1,666,22.2
542,2,677,22.57
796,2,734,24.47
680,1,736,24.53
658,2,741,24.7
776,1,799,26.63
886,1,800,26.67
893,1,805,26.83
900,1,807,26.9
743,1,816,27.2
913,1,822,27.4
914,1,823,27.43
926,1,837,27.9
934,3,855,28.5
827,1,868,28.93
695,2,905,30.17
979,2,906,30.2
986,2,918,30.6
869,1,946,31.53
1031,3,994,33.13
1058,2,1010,33.67
1080,2,1022,34.07
1098,2,1036,34.53
884,1,1047,34.9
1101,3,1053,35.1
1122,1,1054,35.13
1175,1,1083,36.1
1208,1,1095,36.5
1229,1,1107,36.9
1223,1,1111,37.03
977,1,1112,37.07
1232,1,1113,37.1
1242,1,1120,37.33
1246,2,1126,37.53
1254,2,1132,37.73
873,1,1141,38.03
1285,1,1158,38.6
1288,1,1162,38.73
793,2,1167,38.9
1321,1,1190,39.67
1011,1,1196,39.87
956,1,1202,40.07
1325,3,1206,40.2
1345,1,1214,40.47
983,1,1271,42.37
1090,1,1286,42.87
1244,1,1347,44.9
1429,2,1359,45.3
1432,1,1366,45.53
1435,1,1369,45.63
1353,1,1372,45.73
1443,1,1374,45.8
1419,3,1380,46.0
1455,1,1380,46.0
1460,1,1385,46.17
1463,1,1387,46.23
1485,1,1403,46.77
1331,1,1435,47.83
1540,1,1435,47.83
1619,1,1459,48.63
1389,1,1463,48.77
1553,3,1463,48.77
1388,1,1497,49.9
1683,1,1502,50.07
1699,1,1508,50.27
1711,1,1517,50.57
1721,1,1527,50.9
1726,1,1534,51.13
1728,1,1538,51.27
1714,3,1541,51.37
1404,1,1543,51.43
1748,1,1562,52.07
1751,3,1564,52.13
1412,1,1586,52.87
1747,3,1594,53.13
1641,1,1605,53.5
1807,1,1618,53.93
1810,1,1626,54.2
1813,1,1629,54.3
1819,1,1635,54.5
1700,1,1665,55.5
1456,1,1687,56.23
921,2,1694,56.47
1891,2,1694,56.47
1741,1,1715,57.17
1919,2,1736,57.87
908,2,1760,58.67
1784,1,1762,58.73
1903,2,1768,58.93
1459,1,1796,59.87
1804,1,1821,60.7
2017,1,1825,60.83
2032,1,1839,61.3
1797,2,1844,61.47
2040,1,1848,61.6
2047,1,1852,61.73
2103,1,1897,63.23
2119,1,1910,63.67
1912,1,1912,63.73
1949,2,1922,64.07
2161,1,1930,64.33
2175,2,1939,64.63
2201,1,1956,65.2
2210,1,1963,65.43
2217,1,1969,65.63
2230,1,1976,65.87
2255,2,1992,66.4
1963,2,1999,66.63
2067,1,2008,66.93
2300,1,2033,67.77
2191,1,2051,68.37
2006,2,2054,68.47
2337,2,2055,68.5
2348,2,2062,68.73
2355,1,2089,69.63
2388,2,2093,69.77
2099,2,2100,70.0
2421,1,2116,70.53
2459,1,2140,71.33
2152,1,2150,71.67
2420,1,2150,71.67
2187,2,2151,71.7
2460,1,2161,72.03
2497,1,2170,72.33
2242,2,2210,73.67
2553,1,2216,73.87
2082,1,2235,74.5
2568,1,2235,74.5
2581,1,2244,74.8
2292,1,2245,74.83
2361,2,2266,75.53
2613,1,2278,75.93
2158,1,2294,76.47
2635,1,2294,76.47
2398,1,2295,76.5
2657,1,2314,77.13
2681,1,2334,77.8
2684,1,2339,77.97
2417,1,2353,78.43
2709,1,2365,78.83
2473,1,2435,81.17
2729,1,2464,82.13
2761,1,2465,82.17
2631,2,2475,82.5
2688,1,2503,83.43
2680,1,2507,83.57
2711,2,2531,84.37
2817,2,2535,84.5
2720,1,2551,85.03
2847,1,2567,85.57
2851,2,2571,85.7
2722,2,2586,86.2
2727,2,2635,87.83
2923,2,2645,88.17
2808,1,2659,88.63
2823,1,2693,89.77
2975,1,2694,89.8
2991,1,2715,90.5
2970,1,2729,90.97
2987,1,2758,91.93
3009,1,2762,92.07
3012,1,2768,92.27
2986,1,2792,93.07
3026,1,2810,93.67
2994,1,2840,94.67
3019,1,2912,97.07
3034,1,2948,98.27
3059,1,2965,98.83
3109,1,2996,99.87
3194,1,3000,100.0
3147,1,3057,101.9
3182,1,3099,103.3
3112,2,3101,103.37
3245,2,3102,103.4
3237,1,3161,105.37
3201,1,3177,105.9
3254,1,3190,106.33
3195,2,3191,106.37
3269,1,3212,107.07
3258,1,3244,108.13
3205,2,3256,108.53
3277,1,3275,109.17
3299,1,3302,110.07
3394,3,3332,111.07
3273,2,3337,111.23
3339,1,3339,111.3
3285,2,3409,113.63
3358,1,3426,114.2
3470,1,3429,114.3
3480,1,3444,114.8
3446,1,3464,115.47
3498,1,3471,115.7
3518,3,3505,116.83
3439,1,3513,117.1
3544,1,3513,117.1
3558,1,3527,117.57
3564,3,3535,117.83
3484,1,3560,118.67
3496,1,3572,119.07
3524,1,3631,121.03
3523,1,3638,121.27
3617,3,3656,121.87
3467,2,3656,121.87
3600,1,3744,124.8
3665,1,3749,124.97
3650,1,3885,129.5
3666,2,3907,130.23
3682,1,3919,130.63
3675,1,3921,130.7
3772,1,3922,130.73
3788,1,3927,130.9
3791,1,3932,131.07
3685,1,3951,131.7
3689,1,3968,132.27
3679,2,4024,134.13
3853,2,4033,134.43
3877,1,4059,135.3
3812,1,4064,135.47
3817,1,4114,137.13
3878,1,4132,137.73
3951,3,4158,138.6
3868,1,4160,138.67
3981,3,4162,138.73
3744,2,4164,138.8
3873,1,4168,138.93
4001,1,4180,139.33
3881,1,4184,139.47
3897,1,4203,140.1
4029,3,4219,140.63
3947,1,4237,141.23
4073,1,4241,141.37
4083,1,4246,141.53
3959,1,4247,141.57
4046,3,4248,141.6
4091,3,4258,141.93
3999,1,4266,142.2
4131,3,4283,142.77
3991,1,4284,142.8
4006,1,4301,143.37
3992,1,4315,143.83
4153,1,4338,144.6
4032,1,4361,145.37
4195,1,4367,145.57
3815,2,4384,146.13
4224,3,4431,147.7
4125,1,4432,147.73
4292,1,4464,148.8
4321,2,4496,149.87
4196,1,4499,149.97
3846,2,4521,150.7
4132,2,4599,153.3
4311,1,4616,153.87
4408,2,4617,153.9
4331,1,4655,155.17
4317,1,4666,155.53
4392,1,4719,157.3
3952,2,4721,157.37
4590,3,4734,157.8
4617,2,4743,158.1
4404,1,4748,158.27
4659,3,4762,158.73
4671,2,4768,158.93
4675,2,4771,159.03
4704,2,4790,159.67
4484,1,4791,159.7
4720,1,4801,160.03
4705,3,4806,160.2
4581,1,4808,160.27
4731,2,4808,160.27
4576,1,4824,160.8
4599,1,4842,161.4
4790,2,4849,161.63
4791,1,4851,161.7
4041,2,4879,162.63
4657,1,4880,162.67
4742,1,4921,164.03
4881,2,4927,164.23
4707,1,4929,164.3
4896,1,4935,164.5
4113,2,4948,164.93
4922,2,4958,165.27
4794,1,4999,166.63
4769,1,5002,166.73
4839,1,5047,168.23
4948,1,5079,169.3
5043,3,5079,169.3
4293,2,5084,169.47
5072,2,5088,169.6
4872,1,5102,170.07
5086,1,5114,170.47
5104,1,5117,170.57
5169,1,5158,171.93
4505,2,5162,172.07
5041,1,5176,172.53
5235,2,5205,173.5
5238,1,5208,173.6
5089,1,5210,173.67
5250,1,5222,174.07
5033,2,5224,174.13
5287,1,5253,175.1
5298,1,5257,175.23
5307,1,5261,175.37
5319,1,5268,175.6
5352,1,5288,176.27
5384,1,5307,176.9
5387,2,5310,177.0
4789,2,5316,177.2
5233,1,5331,177.7
5430,1,5331,177.7
5436,1,5338,177.93
5437,1,5341,178.03
5444,2,5347,178.23
5451,1,5353,178.43
5044,1,5381,179.37
5499,2,5391,179.7
5262,1,5395,179.83
5500,1,5395,179.83
5468,3,5397,179.9
5520,1,5405,180.17
4969,2,5409,180.3
5531,2,5410,180.33
5543,2,5421,180.7
5564,2,5431,181.03
5578,2,5438,181.27
5582,1,5439,181.3
5586,1,5442,181.4
5588,2,5443,181.43
5597,2,5449,181.63
5624,1,5463,182.1
5445,1,5463,182.1
5068,2,5486,182.87
5518,1,5519,183.97
5691,1,5530,184.33
5701,1,5537,184.57
5114,1,5553,185.1
5558,1,5563,185.43
5251,2,5564,185.47
5738,1,5572,185.73
5275,2,5622,187.4
5673,1,5628,187.6
5831,1,5644,188.13
5743,1,5673,189.1
5274,1,5676,189.2
5881,3,5697,189.9
5830,1,5737,191.23
5644,1,5753,191.77
5975,1,5757,191.9
5979,1,5761,192.03
5997,1,5770,192.33
6008,1,5776,192.53
6019,1,5783,192.77
6025,1,5786,192.87
6040,1,5799,193.3
6043,1,5802,193.4
6023,1,5804,193.47
5772,1,5808,193.6
6092,1,5842,194.73
6103,1,5845,194.83
5946,1,5847,194.9
6120,1,5850,195.0
6085,3,5851,195.03
5315,2,5855,195.17
6151,1,5857,195.23
6154,2,5859,195.3
6159,1,5861,195.37
6175,2,5868,195.6
6205,2,5881,196.03
6041,1,5899,196.63
6192,3,5900,196.67
6267,3,5920,197.33
5774,1,5928,197.6
6280,2,5928,197.6
6068,1,5937,197.9
6279,3,5942,198.07
6321,1,5947,198.23
6346,1,5966,198.87
6353,2,5968,198.93
6030,1,5982,199.4
6217,1,5992,199.73
6253,1,6030,201.0
5622,2,6031,201.03
6436,2,6031,201.03
6235,1,6035,201.17
6464,1,6049,201.63
6485,1,6061,202.03
6500,1,6072,202.4
6349,1,6074,202.47
6522,1,6081,202.7
6270,1,6099,203.3
6557,1,6116,203.87
5856,2,6144,204.8
6451,1,6173,205.77
6423,1,6178,205.93
6531,1,6220,207.33
6472,2,6224,207.47
6684,1,6226,207.53
6696,2,6234,207.8
6426,1,6255,208.5
6790,1,6280,209.33
6634,1,6302,210.07
6431,1,6314,210.47
6857,1,6321,210.7
6855,3,6325,210.83
6868,1,6325,210.83
6822,1,6357,211.9
6914,1,6357,211.9
6755,1,6366,212.2
6929,3,6380,212.67
6944,1,6381,212.7
6992,3,6410,213.67
6766,1,6413,213.77
7017,1,6431,214.37
6835,1,6434,214.47
7037,2,6443,214.77
6900,1,6446,214.87
7055,1,6456,215.2
7056,1,6456,215.2
6586,2,6464,215.47
7063,2,6465,215.5
6906,1,6481,216.03
7041,1,6486,216.2
7104,1,6486,216.2
7108,1,6490,216.33
6941,1,6530,217.67
6967,1,6573,219.1
7184,3,6580,219.33
6625,2,6590,219.67
7212,2,6592,219.73
7220,2,6600,220.0
7225,2,6604,220.13
7232,2,6615,220.5
6050,2,6670,222.33
7210,2,6735,224.5
7344,2,6739,224.63
7358,2,6751,225.03
7368,2,6758,225.27
7359,1,6767,225.57
6801,2,6832,227.73
7414,3,6833,227.77
7308,1,6893,229.77
7497,1,6897,229.9
7287,2,6899,229.97
7509,2,6911,230.37
7408,1,6951,231.7
7534,1,6954,231.8
7325,2,6967,232.23
7340,2,7024,234.13
7592,2,7033,234.43
7594,2,7038,234.6
7544,1,7050,235.0
7425,2,7109,236.97
7585,1,7125,237.5
7647,1,7130,237.67
7611,1,7192,239.73
7475,2,7221,240.7
7669,1,7260,242.0
7672,1,7278,242.6
7758,2,7284,242.8
7734,3,7291,243.03
7771,3,7303,243.43
7773,2,7311,243.7
7699,1,7337,244.57
7788,3,7362,245.4
7808,3,7370,245.67
7722,1,7376,245.87
7841,2,7408,246.93
7846,2,7414,247.13
7858,2,7421,247.37
7865,1,7425,247.5
7842,3,7428,247.6
7775,1,7440,248.0
7889,1,7443,248.1
7890,2,7443,248.1
7904,2,7460,248.67
7911,2,7469,248.97
7822,1,7513,250.43
7953,2,7534,251.13
7571,2,7534,251.13
7961,2,7540,251.33
7902,1,7550,251.67
7994,2,7559,251.97
8002,2,7569,252.3
7870,1,7573,252.43
8004,2,7575,252.5
7946,1,7600,253.33
7928,1,7604,253.47
8049,1,7613,253.77
8040,3,7625,254.17
8076,2,7628,254.27
7968,1,7646,254.87
8101,2,7653,255.1
7922,1,7658,255.27
8127,1,7664,255.47
8021,1,7715,257.17
7709,2,7719,257.3
8118,1,7756,258.53
8230,1,7765,258.83
8083,1,7774,259.13
8148,1,7834,261.13
8289,1,7844,261.47
8214,1,7874,262.47
8315,1,7899,263.3
8192,2,7906,263.53
8351,1,7906,263.53
8325,3,7908,263.6
8332,1,7923,264.1
8256,1,7940,264.67
8405,1,7953,265.1
8304,1,7961,265.37
8239,2,7992,266.4
8451,2,7994,266.47
8298,1,8002,266.73
8468,1,8005,266.83
8394,1,8024,267.47
8499,1,8026,267.53
8415,1,8062,268.73
8368,1,8064,268.8
8531,2,8065,268.83
8303,2,8085,269.5
8414,1,8148,271.6
8641,1,8151,271.7
8647,1,8156,271.87
8649,1,8160,272.0
8671,1,8183,272.77
8421,2,8185,272.83
8690,2,8185,272.83
8677,1,8186,272.87
8574,1,8209,273.63
8743,2,8216,273.87
8611,1,8240,274.67
8497,2,8242,274.73
8673,1,8274,275.8
8823,1,8277,275.9
8837,1,8290,276.33
8722,1,8329,277.63
8906,1,8359,278.63
8916,1,8365,278.83
8929,1,8372,279.07
8808,1,8386,279.53
8961,1,8390,279.67
8739,2,8392,279.73
8838,1,8423,280.77
8796,2,8448,281.6
8863,1,8457,281.9
8905,1,8468,282.27
9057,1,8477,282.57
8971,1,8499,283.3
8850,2,8500,283.33
8907,1,8503,283.43
9042,1,8540,284.67
8994,1,8559,285.3
9198,1,8563,285.43
8861,2,8571,285.7
9156,1,8614,287.13
8991,2,8632,287.73
9161,1,8652,288.4
9168,1,8658,288.6
9293,1,8666,288.87
9303,2,8675,289.17
9004,2,8679,289.3
9316,2,8686,289.53
9128,2,8765,292.17
9354,3,8775,292.5
9368,1,8797,293.23
9377,1,8797,293.23
9395,1,8811,293.7
9407,2,8818,293.93
9254,1,8818,293.93
9421,1,8828,294.27
9456,2,8857,295.23
9221,2,8867,295.57
9344,1,8873,295.77
9409,1,8909,296.97
9442,1,8951,298.37
9557,1,8963,298.77
9467,1,9008,300.27
9460,1,9028,300.93
9624,1,9029,300.97
9635,1,9037,301.23
9512,1,9045,301.5
9650,1,9047,301.57
9433,2,9048,301.6
9642,3,9057,301.9
9694,2,9070,302.33
9682,1,9159,305.3
9773,1,9164,305.47
9763,3,9174,305.8
9554,2,9181,306.03
9797,2,9184,306.13
